"Date,AZN,DGE,BAE,BARC,BP,HSBC,LLOYDS,RR,SHEL,ULVR"
"04/10/2019,43.31,3279,539.6,142.06,484.9,603.1,51.62,247.77,57.3,4784"
"07/10/2019,43.44,3288.5,544,142.94,494.9,601.9,52.03,250.51,57.18,4801.5"
"08/10/2019,43.04,3328,550.8,144.34,502.3,604.3,51.7,251.2,56.44,4843"
"09/10/2019,43.4,3320,549.2,143.94,501.6,599.2,50.98,249.28,56.55,4836.5"
"10/10/2019,43.6,3355,555,145,506.3,604.6,50.7,251.06,57.26,4840"
"11/10/2019,43.58,3321.5,553.2,149.2,502,598,52.67,251.89,57.85,4779.5"
"14/10/2019,43.84,3210,556,160.48,493.55,607.4,59.13,255.04,57.82,4647"
"15/10/2019,44.21,3230.5,558.6,157.6,492.75,607.3,57.79,258.2,57.54,4645"
"16/10/2019,43.79,3164,555.6,164.04,490.2,605.9,60.82,256.07,57.39,4568.5"
"17/10/2019,44.13,3163,555.4,164.26,486.2,603.6,61.03,254.56,58.16,4608.5"
"18/10/2019,43.87,3146,540,164,488.25,606.4,60.96,250.38,57.72,4652.5"
"21/10/2019,43.72,3116.5,539.8,165,485.05,601.6,60.19,244.2,58.28,4626"
"22/10/2019,43.92,3096,535,165.62,490,604.7,61.44,242.41,58.94,4558"
"23/10/2019,44.69,3114.5,535.4,165.3,499.15,610.4,60.41,248.73,59.61,4585.5"
"24/10/2019,47.25,3123.5,536.6,165.78,506.4,610.7,60.28,249.35,59.57,4565.5"
"25/10/2019,47.67,3142,554.4,166.4,510,617.4,59.85,240.9,59.68,4631.5"
"28/10/2019,47.75,3121,558.8,170.36,512,617.4,60,244.61,59.92,4631.5"
"29/10/2019,47.59,3097,565.4,170.5,512,594.4,58.93,247.56,59.93,4557.5"
"30/10/2019,49.02,3105.5,570.2,171.72,492.55,588,58.26,245.5,60.05,4595.5"
"31/10/2019,49.03,3178,575.8,168.42,500.6,588,57.6,244.47,57.97,4652"
"01/11/2019,48.39,3164.5,576.2,167.8,489.3,583,56.8,243.31,58.64,4622.5"
"04/11/2019,48.11,3154,581.4,167.18,497.1,588.8,57.31,248.66,59.44,4612"
"05/11/2019,47.2,3130.5,582.4,168.14,511.1,596,57.79,252.64,60.16,4595"
"06/11/2019,47.34,3101.5,573,169.16,516.4,597.9,58.09,263.9,59.87,4605.5"
"07/11/2019,46.8,3125,583,168.32,514.1,598.1,57.41,266.44,60.37,4689.5"
"08/11/2019,47.26,3116,584,170.04,513.9,600.8,57.2,267.53,60.25,4654.5"
"11/11/2019,46.88,3090,579.6,166.44,508.6,595.6,56.28,266.57,60.18,4675"
"12/11/2019,47.08,3109,571.6,171.64,506.7,586.6,58.54,253.81,59.89,4613"
"13/11/2019,47.82,3060,570.8,172.76,511.9,588.7,59.59,255.32,60.29,4597"
"14/11/2019,47.37,3116,573.6,170.88,510.8,574.2,59.59,252.57,59.13,4625.5"
"15/11/2019,47.44,3123.5,571.6,170.1,506.3,570.3,58.69,250.38,59.57,4603"
"18/11/2019,47.94,3096.5,573.2,170.74,508.9,573.7,59.17,251.61,59.42,4568"
"19/11/2019,47.67,3107,576,170.32,501.8,575,59.74,250.03,58.73,4567"
"20/11/2019,47.01,3118.5,578.6,170.42,501.9,580.7,59.48,250.24,58.44,4557.5"
"21/11/2019,47.61,3114,573.6,169.2,497.1,576.4,59.11,247.08,58.67,4526.5"
"22/11/2019,47.97,3098.5,571.2,168.18,497.25,569.7,58.7,245.37,58.44,4495"
"25/11/2019,48.77,3119.5,575,169.26,499,579.8,59.79,251.61,58.64,4516.5"
"26/11/2019,48.76,3151.5,579,172,500.3,582.8,60.87,254.63,57.97,4518.5"
"27/11/2019,48.77,3192.5,580.2,171.74,493.1,582.8,61.22,254.29,57.8,4560.5"
"29/11/2019,48.48,3189,576,174.42,489.35,585.1,61.7,245.64,57.49,4562.5"
"02/12/2019,48.38,3189.5,577,174.22,486.1,580.8,62.69,246.6,57.13,4571.5"
"03/12/2019,47.89,3165,573.4,171.54,480.2,576.3,61.15,244.2,56.21,4578"
"04/12/2019,48.2,3124,561.2,169.18,481.75,569.2,59.94,239.05,56.84,4542"
"05/12/2019,47.62,3117.5,548.4,166.34,470.05,556.2,59.17,237.54,56.49,4524.5"
"06/12/2019,47.68,3083.5,552.6,167.16,472.35,558.8,60.57,240.84,57.29,4520.5"
"09/12/2019,47.77,3059,551,167.16,465.35,552.3,60.51,241.25,57.27,4475"
"10/12/2019,47.98,3100.5,559,169.4,473.1,561.9,61.47,246.26,57.36,4551"
"11/12/2019,48.19,3076,556.2,171.68,471.25,560.4,62.13,248.8,57.4,4544.5"
"12/12/2019,47.92,3072.5,551.4,170.14,469.3,558.9,61.48,240.56,57.76,4548.5"
"13/12/2019,48.36,3080,558,168.68,463.25,561.7,60.4,241.38,57.44,4524.5"
"16/12/2019,49.31,3060,570,171.86,469.35,576.5,61.12,241.73,58.16,4529.5"
"17/12/2019,48.97,3051,574.6,182.48,462.45,574.6,64.33,235.55,58.47,4545"
"18/12/2019,49.24,3114.5,581.4,192.46,468,585.5,67.25,241.93,58.52,4630.5"
"19/12/2019,49.97,3155,567.6,187.36,478.85,593.6,63.3,236.79,58.9,4299"
"20/12/2019,50.46,3148,568.8,185.12,479.3,599.1,63.36,239.67,58.18,4278.5"
"23/12/2019,49.89,3156,569.4,183.38,483.65,600,63.92,238.78,58.8,4336"
"24/12/2019,49.87,3190,570.8,178.42,485.05,600.2,62.33,238.78,58.7,4367"
"26/12/2019,49.85,3228,577.8,179.46,489.05,599,62.2,241.73,58.87,4429"
"27/12/2019,50.44,3220,578.8,180,487.7,599.4,63.42,239.53,59.09,4389.5"
"30/12/2019,50.01,3229,579.6,181.5,483.95,597.8,63.18,240.7,58.68,4416"
"31/12/2019,49.86,3205,566.8,180.24,478.5,596.3,63.12,236.03,58.98,4373"
"02/01/2020,50.39,3200.5,564.8,179.64,471.6,591.9,62.5,234.45,59.74,4350.5"
"03/01/2020,50.09,3183,574,185.2,480.85,595.1,63.71,233.77,60.21,4347"
"06/01/2020,49.88,3189.5,580.8,183.3,494.05,594.4,63.05,232.6,60.96,4357"
"07/01/2020,50.07,3183.5,588.6,180.98,504.1,585.2,63.25,232.32,60.4,4324.5"
"08/01/2020,49.95,3184.5,590.2,183.14,498.8,583.4,63.11,229.3,59.69,4287.5"
"09/01/2020,50.08,3208.5,592,182.04,494.3,581.3,62.79,228.41,59.68,4240"
"10/01/2020,49.85,3245.5,593,182.86,492.05,588.1,61.85,235.21,59.01,4281"
"13/01/2020,49.67,3245,592.8,181,495.25,584.6,60.33,234.25,58.96,4304.5"
"14/01/2020,50.18,3232.5,614,181.68,497.1,590.8,58.74,231.84,58.92,4343"
"15/01/2020,50.8,3231,612.2,181,495.9,590.4,58.75,231.16,58.82,4319.5"
"16/01/2020,50.51,3276,613,178.5,495.2,589.8,57.81,232.26,58.77,4352"
"17/01/2020,51.33,3250.5,615.6,176.8,497.85,590.9,57.9,232.46,58.54,4354"
"21/01/2020,50.8,3281,624.6,175.24,496.4,594,58.45,231.91,57.46,4400"
"22/01/2020,50.45,3272.5,647.6,175,493.5,592.4,57.9,228,57.44,4400.5"
"23/01/2020,50.2,3252,645,174.4,490.35,585.6,58.5,227.86,57.4,4413"
"24/01/2020,49.28,3222,640,174.76,480.5,581.2,58.09,222.72,57.17,4387"
"27/01/2020,48.9,3217,638.6,171.5,482.15,573,57.4,223.88,56.09,4368.5"
"28/01/2020,49.6,3240,643.8,173.44,486.1,579.4,58.09,225.8,55.92,4474"
"29/01/2020,49.66,3192.5,634.8,170.68,476.95,559.1,57.11,218.46,55.73,4428.5"
"30/01/2020,49.09,3146.5,635,172.02,481.75,567.7,57.64,223.4,53.84,4500.5"
"31/01/2020,48.7,3110,640.6,172.02,477.9,566.3,57.5,231.09,52.15,4438"
"03/02/2020,48.51,3029,635.4,171.5,467.1,563,57.93,231.3,51.24,4527.5"
"04/02/2020,48.76,3010,631.4,168,456.7,551.8,56.79,229.92,51.65,4533.5"
"05/02/2020,49.73,3098,642,169.68,452.7,555.7,56.55,231.71,52.95,4580"
"06/02/2020,50.03,3140.5,648.2,172,471.55,563.7,57.5,235.21,52.14,4593.5"
"07/02/2020,49.4,3149,646,172.96,484.3,569,57.14,235.62,51.79,4636"
"10/02/2020,49.91,3202,652.8,176.72,475,573.5,56.95,238.02,51.39,4695.5"
"11/02/2020,49.78,3163.5,655,177.16,470,581.3,56.92,235.76,51.99,4696"
"12/02/2020,49.58,3134.5,648.6,176.9,464.6,578.3,56.88,237.47,52.65,4685.5"
"13/02/2020,49.33,3114,655.6,179.02,469.7,591.4,56.73,239.19,50.99,4688"
"14/02/2020,47.85,3098,656,179.34,474.6,595.4,57.44,239.87,50.49,4661.5"
"18/02/2020,49.11,3071,661.8,176.32,459.95,589.9,58.03,229.03,50.21,4612"
"19/02/2020,49.31,3079.5,643.2,175.92,456.85,584.5,56.61,232.39,50.22,4605.5"
"20/02/2020,48.94,3090,638.2,177.7,461,590.7,56.87,234.38,49.62,4630"
"21/02/2020,50.17,3107.5,637,175.08,457.5,551.9,55.88,231.64,49.17,4633"
"24/02/2020,47.59,3141,640,176.74,462.8,559,55.78,227.25,47.28,4625"
"25/02/2020,47.08,3123,656.4,181.32,466.2,559.7,56.55,228.07,45.9,4596"
"26/02/2020,47.57,3099.5,669,179.62,453.55,562.2,55.35,221.55,45.75,4593"
